ID	ST	Serovar	GC (%)	Total reads	Passed reads (%)	Low quality reads (%)	too many Ns reads (%)	Too short reads (%)	No. of contigs	Placeholders (N) per 100kbp	N50	Total assembled bases	Point Mutations StarAMR	All AMR ARIBA-NCBI	Sample Accession	Run Accession	Collection Year	Source Niche	Source Type	Source Details	Country	Region	Source Lab
BRCH23-C2G07	548	Minnesota	52.21	1121910	100	0	0	0	70	0	267914	4779877	No result	"aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927302	ERR8025289	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G08	1610	Ouakam	51.92	1242362	100	0	0	0	110	0	280352	5115650	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, aph_3___Ia.NG_047430.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1"	ERS9927238	ERR8025223	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G09	Unknown	Anatum	52.1	1870852	100	0	0	0	101	0	525184	4816365	No result	qnrB19.NG_050479.1	ERS9927356	ERR8025363	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G10	548	Minnesota	52.2	2521326	100	0	0	0	77	0	255088	4842359	No result	"blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927188	ERR8025172	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G11	48	Panama	52.27	1491178	100	0	0	0	71	0	243131	4593032	No result	No result	ERS9927193	ERR8025177	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2G12	15	Heidelberg	52.05	2013060	100	0	0	0	84	0	293116	4938047	gyrA (S83F)	"fosA7.NG_054942.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927338	ERR8025326	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H01	32	Infantis	52.32	2034632	100	0	0	0	53	0	396159	4564720	No result	No result	ERS9927314	ERR8025302	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Mato Grosso	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H02	15	Heidelberg	52.15	1628002	96.71	2.99	0.18	0.12	81	0	291124	4909742	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927280	ERR8025265	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H03	96	Schwarzengrund	51.78	2826804	96.66	3.04	0.17	0.13	74	0	412615	4928516	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, blaCTX_M_2.NG_048968.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927212	ERR8025196	2018	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H05	413	Mbandaka	51.86	1511522	96.91	2.81	0.18	0.1	90	0	445024	5002563	No result	"aadA2.NG_051846.1, ant_2____Ia.NG_047387.1, qacEdelta1.NG_048042.1, qnrA9.NG_059280.1, sul1.NG_048082.1"	ERS9927307	ERR8025295	2018	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H06	Unknown	Heidelberg	52.07	1307316	96.7	2.97	0.18	0.15	106	0	160498	4984002	gyrA (S83F)	"blaCMY_2.NG_048814.1, fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927250	ERR8025235	2017	Poultry	Avian	Broiler chicken faeces	Brazil	District Federal	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H07	64	Anatum	52.04	2312762	96.82	2.86	0.18	0.14	82	0	602590	4830759	No result	mcr_1.26.NG_068217.1	ERS9927253	ERR8025238	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H08	1610	Ouakam	51.92	2178008	96.64	3.03	0.18	0.15	108	1.93	288818	5186320	No result	"aac_3__VIa.NG_052583.3, aadA1.NG_052477.1, aph_3___Ia.NG_047430.1, blaCTX_M_2.NG_048968.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1"	ERS9927260	ERR8025245	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H09	Unknown	Schwarzengrund	51.81	1753558	96.76	2.94	0.18	0.12	83	0	396910	4883804	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, blaCTX_M_2.NG_048968.1, dfrA1.NG_047678.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927235	ERR8025220	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H10	15	Heidelberg	52.08	1456842	96.91	2.8	0.18	0.11	90	0	291118	4936341	gyrA (S83F)	"fosA7.NG_054942.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927200	ERR8025184	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H11	15	Heidelberg	52.05	2372372	96.96	2.74	0.18	0.12	83	0	291125	4938340	gyrA (S83F)	"fosA7.NG_054942.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927222	ERR8025207	2018	Poultry	Avian	Broiler chicken faeces	Brazil	Bahia	University of Sao Paulo / Quadram Institute Bioscience
BRCH23-C2H12	50	Saintpaul	52.09	2408886	96.76	2.91	0.19	0.14	97	0	531506	4990889	No result	No result	ERS9927353	ERR8025360	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-EA05	Unknown	Anatum	52.13	3309314	100	0	0	0	74	0	437706	4791088	No result	qnrB19.NG_050479.1	ERS9927342	ERR8025331	NA	Poultry	Avian	Broiler chicken faeces	Brazil	NA	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-EB05	Unknown	Sandiego	52.04	2143650	100	0	0	0	98	0	387188	4959408	No result	No result	ERS9927264	ERR8025249	NA	Poultry	Avian	Broiler chicken faeces	Brazil	NA	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-EH04	548	Minnesota	52.15	1564716	100	0	0	0	94	0	266792	4910108	No result	"aadA1.NG_052536.1, aph_3___Ia.NG_047430.1, blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927317	ERR8025305	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Goias	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-MF06	Unknown	Minnesota	52.15	1231848	100	0	0	0	91	0	219543	4786866	No result	"blaCMY_2.NG_048814.1, qnrB19.NG_050479.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927324	ERR8025312	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Para	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-MG06	413	Mbandaka	51.91	1316180	100	0	0	0	150	0	199876	4957724	No result	"aac_3__IVa.NG_047253.1, aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_3___Ia.NG_047440.1, aph_4__Ia.NG_047456.1, aph_6__Id.NG_047464.1, dfrA1.NG_047678.1, fosA3.NG_050407.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, tet_A_.NG_048154.1, tet_B_.NG_048163.1"	ERS9927291	ERR8025278	2014	Poultry	Avian	Broiler chicken faeces	Brazil	Sao Paulo	University of Sao Paulo / Quadram Institute Bioscience
BRCH24-MH06	592	Worthington	52.23	2243470	100	0	0	0	75	0	391212	5032557	No result	"aadA1.NG_052486.1, aph_3____Ib.NG_056002.2, aph_6__Id.NG_047464.1, blaTEM_90.NG_050299.1, dfrA1.NG_047678.1, dfrA8.NG_047741.1, floR.NG_047866.1, qacEdelta1.NG_048042.1, qnrB19.NG_050479.1, sul1.NG_048082.1, sul2.NG_051852.1, tet_A_.NG_048154.1"	ERS9927211	ERR8025195	2017	Poultry	Avian	Broiler chicken faeces	Brazil	Minas Gerais	University of Sao Paulo / Quadram Institute Bioscience
L00037-19	548	Minnesota	51.99	5471528	95.95	218906	696	2048	78	0.00	320499	4581700	No result	No result	ERS7357245	ERR6458103	2019	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
L00223-12	548	Minnesota	51.77	5383798	95.49	240478	552	1578	85	0.00	320432	4581612	No result	No result	ERS7357246	ERR6458104	2012	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
L00925-13	15	Heidelberg	52.37	3176048	99.37	20056	0	0	64	0.00	412024	4730768	No result	No result	ERS7357215	ERR6458105	2013	Poultry	Avian	Chicken	United Kingdom	NA	APHA
L00992-13	15	Heidelberg	52.11	2565098	99.42	14886	0	0	100	0.00	374230	4747934	No result	No result	ERS7357216	ERR6458106	2013	Poultry	Avian	Chicken	United Kingdom	NA	APHA
L01529-16	548	Minnesota	50.92	8616506	95.88	351136	896	2600	158	0.00	219501	4911598	No result	No result	ERS7357247	ERR6458107	2016	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	Unknown	NA	APHA
L01552-07	548	Minnesota	51.72	4941230	95.38	226166	560	1546	80	0.00	225383	4546556	No result	No result	ERS7357248	ERR6458108	2007	Other/Veg/Mineral	Feed	Feed mill	United Kingdom	NA	APHA
L02220-14	548	Minnesota	51.99	5402382	95.74	227570	508	2026	80	0.00	219503	4538143	No result	No result	ERS7357249	ERR6458109	2014	Poultry	Avian	Chicken	United Kingdom	NA	APHA
L04099-18	548	Minnesota	51.98	5521328	95.52	245140	568	1600	78	0.00	320499	4581398	No result	No result	ERS7357250	ERR6458110	2018	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
L04178-18	548	Minnesota	51.72	4441604	95.99	175770	440	1770	106	0.00	229828	4638383	No result	No result	ERS7357251	ERR6458111	2018	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
S00176-02	15	Heidelberg	51.67	2938814	99.34	19370	0	0	94	2.06	276179	4873711	No result	No result	ERS7357217	ERR6458112	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S00233-02	15	Heidelberg	50.96	9731530	95.97	385846	3100	3310	74	0.00	235078	4871047	No result	No result	ERS7357218	ERR6458113	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S00610-99	15	Heidelberg	50.75	15053038	96.18	565006	4760	4948	94	0.00	230997	4867919	No result	No result	ERS7357219	ERR6458114	1999	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S00701-02	15	Heidelberg	51.22	10942204	96.18	410248	3508	3876	104	0.00	276202	4975223	No result	No result	ERS7357220	ERR6458115	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S00726-01	15	Heidelberg	51.42	10740076	96.26	395094	3316	3766	84	0.00	411998	4762920	No result	No result	ERS7357221	ERR6458116	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S02136-02	15	Heidelberg	52.71	2703964	99.29	19078	0	0	98	0.00	276186	4865288	No result	No result	ERS7357222	ERR6458117	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S02215-02	15	Heidelberg	51.7	2427234	99.37	15180	0	0	96	0.00	231330	4874516	No result	No result	ERS7357223	ERR6458118	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03121-01	15	Heidelberg	50.95	14790864	96.22	548598	4692	5184	102	0.00	280602	4871509	No result	No result	ERS7357224	ERR6458119	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03158-02	15	Heidelberg	51.13	11648922	96.32	420934	3822	4154	85	0.00	411998	4762737	No result	No result	ERS7357225	ERR6458120	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03178-18	548	Minnesota	52.3	7711322	95.61	334090	1116	3106	376	0.00	75754	5641527	No result	No result	ERS7357252	ERR6458121	2018	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
S03484-01	15	Heidelberg	51.14	11131044	96.4	392912	3482	3844	92	0.00	280602	4870047	No result	No result	ERS7357226	ERR6458122	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03553-02	Unknown	Heidelberg	51.59	9710704	96.4	343166	3106	3522	109	0.00	241939	4862572	No result	No result	ERS7357227	ERR6458123	2002	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03718-01	15	Heidelberg	51.23	10673130	96.18	400840	3204	3678	109	0.00	276162	4860559	No result	No result	ERS7357228	ERR6458124	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03915-01	Unknown	Heidelberg	50.76	15029828	96.05	584094	4436	5026	90	0.00	276162	4865995	No result	No result	ERS7357229	ERR6458125	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S03924-07	Unknown	Heidelberg	52.33	2385774	99.33	16086	0	0	78	2.09	291690	4792852	No result	No result	ERS7357230	ERR6458126	2007	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S04011-01	15	Heidelberg	51.37	8451744	95.92	338902	2842	2856	63	0.00	276162	4761836	No result	No result	ERS7357231	ERR6458127	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S04029-07	15	Heidelberg	52.06	2091700	99.35	13676	0	0	71	0.00	279767	4796404	No result	No result	ERS7357232	ERR6458128	2007	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S04030-07	15	Heidelberg	51.9	2348552	99.39	14324	0	0	88	0.00	234823	4798849	No result	No result	ERS7357233	ERR6458129	2007	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S04030-10	Unknown	Minnesota	52.57	6640314	95.88	269934	892	2540	90	0.00	219503	4594800	No result	No result	ERS7357253	ERR6458130	2010	Other/Veg/Mineral	Other/Veg/Mineral	Other/Veg/Mineral	United Kingdom	NA	APHA
S04196-01	15	Heidelberg	51.16	10412398	96.25	383512	3476	3540	71	0.00	276162	4868420	No result	No result	ERS7357234	ERR6458131	2001	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05060-99	Unknown	Heidelberg	50.99	12160132	96.15	459912	4042	3794	115	0.00	276162	4855800	No result	No result	ERS7357235	ERR6458132	1999	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05061-99	15	Heidelberg	51.22	13744382	96.21	513508	4450	3250	95	0.00	276202	4859798	No result	No result	ERS7357236	ERR6458133	1999	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05365-00	15	Heidelberg	51.03	12741142	96.27	467494	4168	3092	119	0.00	291701	4864439	No result	No result	ERS7357237	ERR6458134	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05454-00	Unknown	Heidelberg	51.15	10695220	96.45	373166	3418	2748	119	0.00	276202	4861123	No result	No result	ERS7357238	ERR6458135	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05474-97	Unknown	Heidelberg	50.94	11285012	96.39	400578	3452	3480	82	0.00	276202	4680297	No result	No result	ERS7357239	ERR6458136	1997	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05618-00	15	Heidelberg	51	12997268	96.36	465490	4002	3394	77	0.00	276162	4758102	No result	No result	ERS7357240	ERR6458137	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05693-00	15	Heidelberg	51.26	12900898	96.31	468876	4158	3100	75	0.00	276162	4869093	No result	No result	ERS7357241	ERR6458138	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S05696-00	15	Heidelberg	52.25	2667386	99.36	16978	0	0	78	0.00	276162	4765594	No result	No result	ERS7357242	ERR6458139	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S07038-00	15	Heidelberg	51.23	13561188	96.08	522208	4258	4554	96	0.00	276162	4816136	No result	No result	ERS7357243	ERR6458140	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
S07042-00	Unknown	Heidelberg	51.14	14477738	96.23	536064	4550	4984	92	0.00	280602	4875053	No result	No result	ERS7357244	ERR6458141	2000	Poultry	Avian	Chicken	United Kingdom	NA	APHA
SRR1957962	Unknown	Minnesota	51.1	2492608	98.3	0	0	0	127	0	163542	4801470	No result	No result	SRS897996	SRS3543064	2014	Human	Human	Homo sapiens; human	United Kingdom	NA	UK Health Security Agency
SRR1968390	Unknown	Heidelberg	52.07	4013048	100	0	0	0	197	0	138174	4969279	No result	No result	SRS904992	SRR1968390	2014	Food	Poultry	Chicken - Fresh Whole	Brazil (import)	NA	UK Health Security Agency
SRR5215862	Unknown	Minnesota	52.16	4127424	87.95	0.93	0	0	129	0	157787	4858503	No result	No result	SRS1946935	SRR5215862	2016	Human	Human	Homo sapiens; human	United Kingdom	NA	UK Health Security Agency
SRR5583081	Unknown	Heidelberg	52	2031062	94.43	5.56	0.01	0	127	0	196040	5064525	No result	No result	SRS2214342 	SRR5583081	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5583084	Unknown	Heidelberg	52.01	2967874	95.04	4.95	0.01	0	109	0	276122	5065014	No result	No result	SRS2214344	SRR5583084	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5583123	15	Heidelberg	52.06	3259310	93.6	6.4	0.01	0	144	0	161706	4964840	No result	No result	SRS2214383	SRR5583123	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5583821	15	Heidelberg	52.08	3047534	93.92	6.08	0	0	126	0	181774	4923797	No result	No result	SRS2215069	SRR5583821	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5583955	Unknown	Heidelberg	52.02	3649206	94.75	5.24	0.01	0	96	0	264507	4914417	No result	No result	SRS2215201	SRR5583955	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584049	15	Heidelberg	52	3209772	97.94	2.02	0.05	0	132	0	208874	5082192	No result	No result	SRS2215296	SRR5584049	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584094	Unknown	Heidelberg	51.97	3791130	96.52	3.41	0.07	0	129	0	179910	5034411	No result	No result	SRS2215340	SRR5584094	2017	Food	Poultry	Chicken - Fresh Whole	Brazil (import)	NA	UK Health Security Agency
SRR5584590	15	Heidelberg	52.04	4080732	93.73	6.21	0.06	0	132	0	234791	4990698	No result	No result	SRS2215839	SRR5584590	2017	Food	Poultry	Chicken - Fresh Whole	Brazil (import)	NA	UK Health Security Agency
SRR5584684	15	Heidelberg	52.1	3924118	96.24	3.75	0.01	0	110	0	206848	5046559	No result	No result	SRS2215917	SRR5584684	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584758	15	Heidelberg	52.08	3917450	98.23	1.76	0.01	0	131	0	176045	4928630	No result	No result	SRS2215991	SRR5584758	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584830	15	Heidelberg	52.05	4475526	91.81	8.15	0.03	0	134	0	276122	4993242	No result	No result	SRS2216064	SRR5584830	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584868	Unknown	Minnesota	52.16	4006616	78.88	21.08	0.04	0	142	0	157020	4819921	No result	No result	SRS2216101	SRR5584868	2017	Food	Poultry	Chicken - Frozen Whole	Brazil (import)	NA	UK Health Security Agency
SRR5584952	15	Heidelberg	52.08	2914054	96.63	3.29	0.08	0	135	0	138174	4924174	No result	No result	SRS2216185	SRR5584952	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5584998	Unknown	Heidelberg	52.04	3950136	96.71	3.22	0.07	0	152	0	178567	5060578	No result	No result	SRS2216231	SRR5584998	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5585036	15	Heidelberg	51.96	1596618	93.31	6.65	0.04	0	138	0	196039	5065408	No result	No result	SRS2216268	SRR5585036	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585050	15	Heidelberg	52.06	1777860	89.72	10.25	0.03	0	148	0	144769	4960725	No result	No result	SRS2216282	SRR5585050	2017	Food	Poultry	salted chicken	Brazil (import)	NA	UK Health Security Agency
SRR5585076	15	Heidelberg	51.98	3878686	98.15	1.84	0.01	0	258	0	136547	5049479	No result	No result	SRS2216308	SRR5585076	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585127	15	Heidelberg	52.01	1978574	94.21	5.76	0.04	0	141	0	233700	5069522	No result	No result	SRS2216359	SRR5585127	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585135	15	Heidelberg	51.99	3691116	97.31	2.68	0.01	0	132	0	161686	5040175	No result	No result	SRS2216368	SRR5585135	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585192	15	Heidelberg	52	2429368	93.96	6.01	0.04	0	116	0	236539	5083033	No result	No result	SRS2216424	SRR5585192	2017	Food	Poultry	salted chicken	Brazil (import)	NA	UK Health Security Agency
SRR5585228	15	Heidelberg	52.02	4577016	98.42	1.54	0.04	0	125	0	241152	5019333	No result	No result	SRS2216460	SRR5585228	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5585239	15	Heidelberg	52.07	3561612	98.32	1.67	0.01	0	109	0	235037	4958543	No result	No result	SRS2216472	SRR5585239	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585257	Unknown	Heidelberg	52.06	2393198	94.59	5.4	0.01	0	139	0	200291	4954549	No result	No result	SRS2216490	SRR5585257	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5585331	Unknown	Minnesota	52.16	3697594	76.71	23.25	0.04	0	160	0	157306	4822454	No result	No result	SRS2216564	SRR5585331	2017	Food	Poultry	Chicken - Frozen Whole	Brazil (import)	NA	UK Health Security Agency
SRR5585377	Unknown	Minnesota	52.16	5131486	83.38	16.57	0.05	0	146	0	167554	4821074	No result	No result	SRS2216610	SRR5585377	2017	Food	Poultry	Chicken - Frozen Whole	Brazil (import)	NA	UK Health Security Agency
SRR5631592	15	Heidelberg	52.07	3216770	96.69	3.24	0.07	0	136	0	178925	4974602	No result	No result	SRS2241615	SRR5631592	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5631604	Unknown	Heidelberg	51.92	3913260	96.78	3.2	0.02	0	146	0	161281	5029982	No result	No result	SRS2241627	SRR5631604	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5631653	15	Heidelberg	52	4875540	98.28	1.67	0.04	0	122	0	253427	5068574	No result	No result	SRS2241677	SRR5631653	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5631669	15	Heidelberg	52.04	5547212	98.17	1.79	0.04	0	120	0	193850	5008857	No result	No result	SRS2241687	SRR5631669	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5632108	15	Heidelberg	52.05	4955126	94.16	5.81	0.03	0	125	0	253855	4992532	No result	No result	SRS2242095	SRR5632108	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5632816	Unknown	Heidelberg	51.99	3763810	98.49	1.5	0.01	0	149	0	161685	5040849	No result	No result	SRS2242789	SRR5632816	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5632970	15	Heidelberg	52	2751568	96.33	3.6	0.07	0	120	0	235036	5066153	No result	No result	SRS2242944	SRR5632970	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5633077	Unknown	Heidelberg	51.99	3796242	98.21	1.78	0.01	0	121	0	253428	5070812	No result	No result	SRS2243049	SRR5633077	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5633085	15	Heidelberg	52	5281562	98.16	1.81	0.04	0	123	0	248711	5041547	No result	No result	SRS2243058	SRR5633085	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5633088	15	Heidelberg	52.01	4889388	97.97	1.99	0.04	0	120	0	214998	5029878	No result	No result	SRS2243061	SRR5633088	2017	Food	Poultry	salted chicken	Brazil (import)	NA	UK Health Security Agency
SRR5633101	Unknown	Heidelberg	52.02	3420738	96.72	3.21	0.07	0	111	0	178475	4912978	No result	No result	SRS2243074	SRR5633101	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5633111	548	Minnesota	52.16	4121090	78.02	21.94	0.04	0	130	0	169615	4819494	No result	No result	SRS2243084	SRR5633111	2017	Food	Poultry	Chicken - Frozen Whole	Brazil (import)	NA	UK Health Security Agency
SRR5633133	15	Heidelberg	52.03	3497606	97.94	2.02	0.04	0	142	0	175809	4956906	No result	No result	SRS2243106	SRR5633133	2017	Food	Poultry	Raw chicken	Brazil (import)	NA	UK Health Security Agency
SRR5633236	15	Heidelberg	52.08	3217706	97.77	2.23	0.01	0	131	0	157421	4999296	No result	No result	SRS2243209	SRR5633236	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR5633396	15	Heidelberg	52	4954356	98.46	1.5	0.04	0	148	0	176806	5062355	No result	No result	SRS2243369	SRR5633396	2017	Food	Poultry	salted chicken	Brazil (import)	NA	UK Health Security Agency
SRR6190513	32	Infantis	52.25	3513188	94.44	5.55	0.01	0	126	0	149684	4662393	No result	No result	SRS2608141	SRR6190513	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
SRR6193002	32	Infantis	52.31	3968108	93.4	6.58	0.01	0	113	0	175671	4594495	No result	No result	SRS2610429	SRR6193002	2015	Food	Swine	Pigs ears	Brazil (import)	NA	UK Health Security Agency
SRR6900963	Unknown	Enteritidis	52.13	3946188	92.23	7.76	0.01	0	85	0	229065	4704959	No result	No result	SRS3094410	SRR6900963	2017	Food	Poultry	Chicken Pieces - Frozen	Brazil (import)	NA	UK Health Security Agency
